frame,dt_ms,fps
0,51.938,19.3
1,0.903,1107.4
2,15.577,64.2
3,8.901,112.3
4,3.521,284.0
5,15.208,65.8
6,13.999,71.4
7,8.920,112.1
8,1.527,655.0
9,14.571,68.6
10,8.337,119.9
11,8.274,120.9
12,11.018,90.8
13,14.010,71.4
14,8.862,112.8
15,2.389,418.5
16,13.678,73.1
17,8.318,120.2
18,8.271,120.9
19,8.302,120.4
20,8.425,118.7
21,3.594,278.2
22,13.249,75.5
23,55.196,18.1
24,58.367,17.1
25,41.560,24.1
26,89.478,11.2
27,10.583,94.5
28,7.157,139.7
29,16.688,59.9
30,16.685,59.9
31,13.264,75.4
32,11.799,84.8
33,8.061,124.1
34,17.006,58.8
35,16.473,60.7
36,12.948,77.2
37,11.999,83.3
38,8.182,122.2
39,16.752,59.7
40,16.548,60.4
41,8.328,120.1
42,16.997,58.8
43,16.412,60.9
44,8.449,118.4
45,16.674,60.0
46,16.697,59.9
47,5.230,191.2
48,11.180,89.4
49,8.328,120.1
50,16.836,59.4
51,16.463,60.7
52,8.317,120.2
53,17.652,56.7
54,16.788,59.6
55,7.872,127.0
56,2.665,375.2
57,13.870,72.1
58,8.489,117.8
59,2.397,417.2
60,14.251,70.2
61,7.935,126.0
62,1.961,509.8
63,15.292,65.4
64,7.883,126.9
65,2.072,482.6
66,15.104,66.2
67,7.608,131.4
68,2.535,394.5
69,14.627,68.4
70,8.351,119.7
71,15.825,63.2
72,17.802,56.2
73,15.908,62.9
74,8.239,121.4
75,2.336,428.0
76,14.651,68.3
77,8.178,122.3
78,1.678,595.9
79,17.139,58.3
80,6.085,164.3
81,2.330,429.2
82,14.522,68.9
83,13.087,76.4
84,11.752,85.1
85,8.221,121.6
86,1.682,594.6
87,15.326,65.2
88,7.876,127.0
89,2.045,489.0
90,17.544,57.0
91,5.446,183.6
92,2.517,397.3
93,14.145,70.7
94,12.939,77.3
95,11.993,83.4
96,8.428,118.7
97,6.079,164.5
98,10.498,95.3
99,8.217,121.7
100,2.464,405.8
101,14.381,69.5
102,8.387,119.2
103,4.294,232.9
104,12.122,82.5
105,8.280,120.8
106,12.823,78.0
107,3.242,308.5
108,16.750,59.7
109,16.663,60.0
110,8.741,114.4
111,2.089,478.7
112,14.774,67.7
113,8.254,121.2
114,2.207,453.0
115,14.633,68.3
116,8.157,122.6
117,1.821,549.1
118,14.945,66.9
119,7.882,126.9
120,1.973,506.8
121,15.043,66.5
122,8.154,122.6
123,2.209,452.7
124,14.615,68.4
125,16.229,61.6
126,7.956,125.7
127,17.260,57.9
128,16.758,59.7
129,8.229,121.5
130,17.228,58.0
131,7.574,132.0
132,1.607,622.3
133,16.043,62.3
134,7.287,137.2
135,1.700,588.1
136,15.364,65.1
137,10.506,95.2
138,14.605,68.5
139,7.927,126.1
140,1.346,742.9
141,16.095,62.1
142,7.638,130.9
143,20.048,49.9
144,4.854,206.0
145,1.725,579.8
146,15.510,64.5
147,7.722,129.5
148,3.733,267.9
149,13.157,76.0
150,8.167,122.4
151,20.107,49.7
152,12.587,79.4
153,8.105,123.4
154,16.712,59.8
155,16.511,60.6
156,8.464,118.1
157,17.370,57.6
158,16.979,58.9
159,7.573,132.1
160,1.562,640.4
161,15.586,64.2
162,8.089,123.6
163,1.725,579.6
164,14.988,66.7
165,8.255,121.1
166,17.350,57.6
167,7.547,132.5
168,2.093,477.7
169,14.778,67.7
170,8.114,123.2
171,2.398,417.1
172,14.684,68.1
173,7.983,125.3
174,17.007,58.8
175,7.777,128.6
176,1.763,567.2
177,15.793,63.3
178,7.518,133.0
179,17.261,57.9
180,7.622,131.2
181,2.140,467.3
182,14.553,68.7
183,11.332,88.2
184,13.729,72.8
185,7.985,125.2
186,1.637,610.7
187,15.868,63.0
188,7.369,135.7
189,1.639,610.2
190,17.102,58.5
191,6.302,158.7
192,2.342,426.9
193,14.675,68.1
194,11.777,84.9
195,12.861,77.8
196,8.195,122.0
197,1.627,614.7
198,15.674,63.8
199,7.707,129.8
summary,11.351,88.1
cpu_time,0.244,
peak_rss_kb,48431104,
vertex_count,15080,,
